datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2022-10-22T17:30:00,Legia,1,1,Pogon Szczecin,0,1
2022-10-22T15:00:00,Stal Mielec,1,1,Wisla Plock,0,1
2022-10-21T20:30:00,Widzew Lodz,1,1,Legnica,0,0
2022-10-16T18:30:00,Gornik Z.,1,1,Lech Poznan,1,2
2022-10-16T15:00:00,Widzew Lodz,1,3,Zaglebie,0,0
2022-10-16T12:30:00,Legnica,0,1,Cracovia,1,1
2022-10-15T20:00:00,Pogon Szczecin,0,1,Piast Gliwice,1,1
2022-10-15T17:30:00,Warta Poznan,0,2,Jagiellonia,0,0
2022-10-15T15:00:00,Lechia Gdansk,0,0,Rakow,2,3
2022-10-15T12:30:00,Radomiak Radom,0,2,Slask Wroclaw,0,0
2022-10-14T20:30:00,Wisla Plock,0,2,Legia,0,1
2022-10-14T18:00:00,Korona Kielce,0,0,Stal Mielec,2,2
2022-10-10T20:30:00,Piast Gliwice,0,1,Widzew Lodz,1,2
2022-10-10T18:00:00,Rakow,1,1,Legnica,0,0
2022-10-09T17:30:00,Lech Poznan,1,1,Radomiak Radom,0,0
2022-10-09T15:00:00,Zaglebie,1,1,Korona Kielce,0,1
2022-10-08T20:00:00,Cracovia,0,0,Lechia Gdansk,0,1
2022-10-08T17:30:00,Legia,1,1,Warta Poznan,0,0
2022-10-08T15:00:00,Slask Wroclaw,2,4,Gornik Z.,0,1
2022-10-07T20:30:00,Jagiellonia,0,1,Wisla Plock,1,1
2022-10-07T18:00:00,Stal Mielec,2,4,Pogon Szczecin,1,2
2022-10-06T20:45:00,Piast Gliwice,0,0,Rakow,0,1
2022-10-03T19:00:00,Slask Wroclaw,0,0,Warta Poznan,1,2
2022-10-02T17:30:00,Widzew Lodz,0,0,Rakow,0,0
2022-10-02T15:00:00,Jagiellonia,1,4,Korona Kielce,1,1
2022-10-02T12:30:00,Legnica,0,0,Stal Mielec,2,2
2022-10-01T20:30:00,Pogon Szczecin,2,2,Lechia Gdansk,1,1
2022-10-01T17:30:00,Lech Poznan,0,0,Legia,0,0
2022-10-01T15:00:00,Gornik Z.,1,2,Zaglebie,2,3
2022-09-30T20:30:00,Wisla Plock,0,1,Piast Gliwice,0,0
2022-09-30T18:00:00,Radomiak Radom,0,0,Cracovia,1,2
2022-09-18T17:30:00,Warta Poznan,0,0,Lech Poznan,0,1
2022-09-18T15:00:00,Zaglebie,1,2,Wisla Plock,1,1
2022-09-18T12:30:00,Korona Kielce,1,1,Gornik Z.,1,2
2022-09-17T20:00:00,Cracovia,0,1,Pogon Szczecin,0,1
2022-09-17T17:30:00,Rakow,1,3,Radomiak Radom,0,0
2022-09-17T15:00:00,Lechia Gdansk,0,2,Jagiellonia,1,2
2022-09-17T12:30:00,Stal Mielec,0,0,Widzew Lodz,0,3
2022-09-16T20:30:00,Legia,2,3,Legnica,2,2
2022-09-16T18:00:00,Piast Gliwice,1,1,Slask Wroclaw,1,1
2022-09-12T19:00:00,Jagiellonia,3,4,Stal Mielec,0,0
2022-09-11T17:30:00,Rakow,1,4,Legia,0,0
2022-09-11T15:00:00,Pogon Szczecin,1,2,Lech Poznan,1,2
2022-09-11T12:30:00,Legnica,1,2,Korona Kielce,0,2
2022-09-10T20:00:00,Gornik Z.,2,3,Piast Gliwice,2,3
2022-09-10T17:30:00,Radomiak Radom,1,2,Wisla Plock,0,0
2022-09-10T15:00:00,Slask Wroclaw,0,2,Lechia Gdansk,1,1
2022-09-09T20:30:00,Widzew Lodz,1,2,Cracovia,0,0
2022-09-09T18:00:00,Warta Poznan,1,2,Zaglebie,1,2
2022-09-05T20:30:00,Wisla Plock,1,1,Gornik Z.,0,1
2022-09-05T18:00:00,Piast Gliwice,1,2,Legnica,1,1
2022-09-04T17:30:00,Lech Poznan,0,2,Widzew Lodz,0,0
2022-09-04T15:00:00,Korona Kielce,0,1,Pogon Szczecin,2,2
2022-09-04T12:30:00,Zaglebie,0,1,Jagiellonia,0,1
2022-09-03T20:00:00,Cracovia,2,3,Rakow,0,0
2022-09-03T17:30:00,Lechia Gdansk,0,0,Warta Poznan,0,0
2022-09-03T15:00:00,Stal Mielec,1,2,Slask Wroclaw,0,0
2022-09-02T20:30:00,Legia,0,1,Radomiak Radom,0,0
2022-08-31T20:30:00,Lechia Gdansk,0,0,Lech Poznan,2,3
2022-08-31T18:00:00,Rakow,0,1,Pogon Szczecin,0,0
2022-08-28T17:30:00,Lech Poznan,1,1,Piast Gliwice,0,0
2022-08-28T15:00:00,Slask Wroclaw,0,1,Rakow,1,4
2022-08-28T12:30:00,Cracovia,0,0,Warta Poznan,0,2
2022-08-27T20:00:00,Widzew Lodz,1,2,Wisla Plock,0,1
2022-08-27T17:30:00,Pogon Szczecin,1,3,Zaglebie,0,0
2022-08-27T15:00:00,Legnica,1,2,Lechia Gdansk,0,1
2022-08-27T12:30:00,Radomiak Radom,0,0,Korona Kielce,1,2
2022-08-26T20:30:00,Stal Mielec,0,0,Legia,0,1
2022-08-26T18:00:00,Gornik Z.,0,1,Jagiellonia,1,1
2022-08-21T17:30:00,Piast Gliwice,1,4,Stal Mielec,0,0
2022-08-21T15:00:00,Zaglebie,0,0,Radomiak Radom,0,1
2022-08-20T20:00:00,Warta Poznan,0,0,Widzew Lodz,0,1
2022-08-20T17:30:00,Slask Wroclaw,1,1,Cracovia,1,1
2022-08-20T15:00:00,Wisla Plock,1,2,Korona Kielce,0,1
2022-08-19T20:30:00,Legia,0,2,Gornik Z.,1,2
2022-08-19T18:00:00,Jagiellonia,0,2,Legnica,1,1
2022-08-15T19:00:00,Korona Kielce,0,0,Warta Poznan,1,1
2022-08-14T20:00:00,Lech Poznan,0,0,Slask Wroclaw,1,1
2022-08-14T17:30:00,Rakow,2,2,Jagiellonia,0,2
2022-08-14T15:00:00,Radomiak Radom,2,4,Lechia Gdansk,1,1
2022-08-13T20:00:00,Pogon Szczecin,1,2,Wisla Plock,0,2
2022-08-13T17:30:00,Gornik Z.,1,1,Stal Mielec,2,3
2022-08-13T15:00:00,Cracovia,0,0,Piast Gliwice,0,1
2022-08-12T20:30:00,Widzew Lodz,0,1,Legia,2,2
2022-08-12T18:00:00,Legnica,0,0,Zaglebie,0,1
2022-08-08T19:00:00,Wisla Plock,2,4,Legnica,1,1
2022-08-07T20:00:00,Gornik Z.,1,1,Rakow,0,0
2022-08-07T17:30:00,Zaglebie,0,1,Lech Poznan,0,1
2022-08-07T15:00:00,Warta Poznan,0,1,Pogon Szczecin,2,2
2022-08-06T20:00:00,Slask Wroclaw,0,0,Widzew Lodz,0,0
2022-08-06T17:30:00,Jagiellonia,1,1,Radomiak Radom,0,2
2022-08-06T15:00:00,Lechia Gdansk,0,0,Korona Kielce,1,1
2022-08-05T20:30:00,Legia,0,2,Piast Gliwice,0,0
2022-08-05T18:00:00,Stal Mielec,1,2,Cracovia,0,0
2022-08-01T19:00:00,Korona Kielce,2,3,Slask Wroclaw,0,1
2022-07-31T20:00:00,Widzew Lodz,1,2,Lechia Gdansk,2,3
2022-07-31T17:30:00,Lech Poznan,0,1,Wisla Plock,1,3
2022-07-31T17:30:00,Rakow,1,3,Stal Mielec,1,2
2022-07-31T15:00:00,Pogon Szczecin,1,1,Jagiellonia,0,0
2022-07-30T20:00:00,Legnica,1,1,Warta Poznan,1,2
2022-07-30T17:30:00,Radomiak Radom,0,0,Gornik Z.,2,3
2022-07-29T20:30:00,Cracovia,1,3,Legia,0,0
2022-07-29T18:00:00,Piast Gliwice,0,0,Zaglebie,0,1
2022-07-25T19:00:00,Stal Mielec,0,1,Radomiak Radom,0,1
2022-07-24T17:30:00,Slask Wroclaw,1,2,Pogon Szczecin,1,1
2022-07-23T20:00:00,Legia,1,2,Zaglebie,0,0
2022-07-23T17:30:00,Cracovia,1,2,Korona Kielce,0,0
2022-07-22T20:30:00,Jagiellonia,0,0,Widzew Lodz,0,2
2022-07-22T18:00:00,Warta Poznan,0,0,Wisla Plock,3,4
2022-07-18T19:00:00,Gornik Z.,0,0,Cracovia,2,2
2022-07-17T17:30:00,Pogon Szczecin,1,2,Widzew Lodz,1,1
2022-07-17T15:00:00,Wisla Plock,1,3,Lechia Gdansk,0,0
2022-07-17T12:30:00,Radomiak Radom,0,1,Legnica,0,1
2022-07-16T20:00:00,Korona Kielce,0,1,Legia,0,1
2022-07-16T17:30:00,Jagiellonia,1,2,Piast Gliwice,0,0
2022-07-16T15:00:00,Lech Poznan,0,0,Stal Mielec,1,2
2022-07-15T20:30:00,Zaglebie,0,0,Slask Wroclaw,0,0
2022-07-15T18:00:00,Rakow,0,1,Warta Poznan,0,0
